Frames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[24.0, 238.0]","[402.0, 305.0]","[596.0, 335.0]","[189.0, 354.0]",,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[22.0, 238.0]","[400.0, 299.0]","[593.0, 332.0]","[190.0, 352.0]",,,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[21.0, 239.0]","[399.0, 294.0]","[587.0, 327.0]","[193.0, 349.0]",,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[22.0, 240.0]","[397.0, 288.0]","[581.0, 320.0]","[194.0, 347.0]",,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[21.0, 240.0]","[396.0, 283.0]","[575.0, 314.0]","[194.0, 344.0]","[613.0, 353.0]",,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[13.0, 254.0]","[395.0, 278.0]","[569.0, 309.0]","[195.0, 342.0]","[609.0, 349.0]","[30.0, 226.0]",,,,,,,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[22.0, 240.0]","[394.0, 273.0]","[565.0, 302.0]","[197.0, 338.0]","[603.0, 343.0]","[22.0, 240.0]",,,,,,,,,,,,,
577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[21.0, 242.0]","[392.0, 268.0]","[560.0, 296.0]","[203.0, 339.0]","[597.0, 336.0]","[21.0, 242.0]",,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[20.0, 242.0]","[391.0, 263.0]","[556.0, 292.0]","[205.0, 335.0]","[591.0, 330.0]","[20.0, 242.0]",,,,,,,,,,,,,
579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[20.0, 241.0]","[390.0, 259.0]","[551.0, 287.0]","[208.0, 330.0]","[585.0, 324.0]","[20.0, 241.0]",,,,,,,,,,,,,
